siteID,X,Y,amRivDist,asRivDist,confDist,kopDist,binTerm,mpAvgTerm10,nearTerm,TM50,TM100,TM300,TMgt300,lriskDry,lriskWet,mpAvgTree10,asAvgTree10,nearTree,T25,T50,T100,T150,T200,T250,habitat,woodland
F11,704485,9713979,2687.077249,2476.396879,2892.845331,8934.633763,0,1500,1500,0,0,0,0,0.000828111,0.001075244,602.1,1500,1,6,0,0,0,0,0,GRASSLAND,GRASSLAND
F12,703914,9711090,30.73627182,30.73633555,1713.990081,7512.050607,1,1253.5,35,1,0,0,0,0.001206807,0.001190047,302.9,1171.4,8,2,1,2,1,0,0,WOODLAND,SPARSE
F13,703934,9709178,1710.528299,1710.5282,2351.830457,6006.710815,0,1500,1500,0,0,0,0,0.001012662,0.000918788,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
G01,706102,9736053,1141.912103,1141.912196,1446.057336,2639.878297,1,1068.4,37,1,2,0,0,4.86E-05,0.000197349,6.3,10.5,4,35,23,500,500,500,500,WOODLAND,MODERATE
G02,706134,9733844,257.1025528,257.1025004,768.1529216,2203.697292,0,1500,1500,0,0,0,0,0.000601564,0.001814606,10.3,14.8,4,500,500,500,500,500,500,WOODLAND,DENSE
G03,706155,9731640,1563.2911,837.32526,1977.285977,2.358660585,0,1500,1500,0,0,0,0,0.004175218,0.005159554,3.6,30.9,1,49,18,11,2,0,0,WOODLAND,MODERATE
G04,706134,9729292,3008.942713,1380.457874,1340.533208,956.3427337,0,1500,1500,0,0,0,0,0.003065188,0.004555306,19.2,26.8,3,7,20,58,108,35,500,WOODLAND,MODERATE
G05,706047,9727177,1362.680538,1362.680623,1489.383235,2131.820844,1,1377.8,278,0,0,1,0,0.001891726,0.002583444,37.2,277.5,7,4,2,6,1,0,1,WOODLAND,SPARSE
G06,706219,9724968,793.0976156,793.0975367,1443.871456,3407.150453,1,948.8,12,1,0,3,0,0.003336936,0.003532524,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
G07,706141,9722824,388.1082323,388.1082097,1307.556035,3023.773709,0,1500,1500,0,0,0,0,0.00382367,0.003524493,961.1,1500,15,1,0,1,0,1,0,GRASSLAND,GRASSLAND
G08,706147,9720338,2181.844876,2050.201893,2165.974398,3742.928979,1,1363.9,139,0,0,1,0,0.00120473,0.001664658,1354.3,1500,43,0,1,0,0,0,0,WOODLAND,SPARSE
G09,706009,9717812,3899.847176,1032.28349,4130.400112,5181.808878,0,1500,1500,0,0,0,0,0.000969034,0.001131415,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
G11,705980,9713728,2420.097635,1671.883991,2440.539522,8154.31306,0,1500,1500,0,0,0,0,0.000899642,0.001266219,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
G12,706579,9711696,911.622729,0.023576058,1038.226866,6995.92707,1,664.4,75,0,4,2,0,0.00109628,0.001324004,1239.5,1394.5,170,0,0,0,0,1,1,GRASSLAND,GRASSLAND
G13,706272,9708820,527.0747249,527.0746321,1509.315722,4367.469412,1,139.8,36,1,1,14,16,0.000723055,0.000842799,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
H01,708572,9736024,2125.102226,1925.103105,1825.134543,19,0,1500,1500,0,0,0,0,1.45E-05,0.000205547,10,15.1,3,27,46,500,500,500,500,WOODLAND,DENSE
H02,708420,9733771,1215.529709,1469.058542,1369.931205,664.187221,1,1353.2,32,1,0,0,0,0.000344065,0.00147236,14,20.8,6,23,20,500,500,500,500,WOODLAND,MODERATE
H03,708382,9731609,22.98709352,22.98711423,281.5443078,1947.02828,0,1500,1500,0,0,0,0,0.002040007,0.003008504,5.5,18.4,1,500,500,500,500,500,500,WOODLAND,DENSE
H04,708540,9729326,997.8244147,1603.876537,1163.602167,2605.682854,0,1500,1500,0,0,0,0,0.001172225,0.002524959,79.9,242.7,35,0,2,5,8,57,38,WOODLAND,SPARSE
H05,708409,9727081,1335.368958,1335.368958,1631.01309,2770.506693,0,1500,1500,0,0,0,0,0.001153213,0.001860381,176.8,405.6,66,0,0,4,1,1,1,GRASSLAND,GRASSLAND
H06,708629,9724638,938.7220889,938.7220889,1697.444059,1511.859089,1,1351.1,11,1,0,0,0,0.001603704,0.002148387,1373.8,1170.7,238,0,0,0,0,0,1,GRASSLAND,GRASSLAND
H07,708336,9722786,852.241477,852.241477,1016.280105,875.4647779,0,1500,1500,0,0,0,0,0.003666661,0.002535282,233.7,276.1,174,0,0,0,0,2,4,GRASSLAND,GRASSLAND
H08,708658,9720643,128.4456926,128.445719,584.1220641,1325.413872,1,1368.3,183,0,0,1,0,0.003863288,0.002001476,1350.6,1053.2,6,1,0,0,0,0,0,GRASSLAND,GRASSLAND
H09,708544,9718042,2260.76572,2260.765642,2352.485981,3191.607433,1,1369.9,199,0,0,1,0,0.001254735,0.001271533,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
H10,708438,9715769,4271.518056,3657.602196,4357.831407,5118.48572,0,1500,1500,0,0,0,0,0.00122727,0.001194438,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
H11,708342,9713816,3668.897518,1945.769463,3159.754703,6946.396855,0,1500,1500,0,0,0,0,0.001019019,0.001301505,250.6,57.5,7,5,1,1,0,0,0,WOODLAND,SPARSE
H12,708077,9710659,1680.274941,441.3890008,337.4567098,5778.592524,1,131.5,44,1,2,10,1,0.000987627,0.001135657,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
H13,708312,9708102,19.22598048,19.22585966,2672.428167,3224.596263,1,491.6,19,2,5,0,0,0.000812502,0.000825907,269,887.7,25,1,1,2,1,2,1,WOODLAND,SPARSE
I02,710666,9733817,2034.934705,1057.112813,1193.716472,992.285133,1,338.6,28,5,3,0,0,0.000415152,0.000773868,5.2,8.8,2,500,500,500,500,500,500,WOODLAND,DENSE
I03,710555,9731470,1833.463815,1034.729073,1943.230058,3267.303593,0,1500,1500,0,0,0,0,0.001463173,0.001746573,71.5,38.4,30,0,1,9,65,500,500,WOODLAND,SPARSE
I04,710653,9729274,535.3923795,2467.540753,2085.876724,2556.240454,0,1500,1500,0,0,0,0,0.001433811,0.001857428,8.3,33.1,3,32,40,500,500,500,500,WOODLAND,DENSE
I05,710639,9727166,1770.118138,1887.988208,1544.875783,656.5573902,0,1500,1500,0,0,0,0,0.000425817,0.00185938,81.9,96.1,19,1,0,8,12,21,17,GRASSLAND,GRASSLAND
I06,710826,9724838,18.43603786,1638.38872,1462.036955,1909.757358,1,1214.9,53,0,2,0,0,0.000744956,0.001932277,42,37.5,17,1,6,13,4,1,0,WOODLAND,SPARSE
I07,710606,9722657,2199.680148,1901.557642,1855.852579,661.4495805,0,1500,1500,0,0,0,0,0.002729884,0.002081052,665.6,178,4,2,1,0,1,1,0,WOODLAND,SPARSE
I08,710558,9720584,781.7242785,42.87421889,907.6906434,128,0,1500,1500,0,0,0,0,0.002814044,0.001824286,309.6,183.8,44,0,2,1,1,2,0,WOODLAND,SPARSE
I09,710267,9718022,1527.517123,1527.516994,1773.871755,2355.321356,0,1500,1500,0,0,0,0,0.001177698,0.001368977,756.4,1500,364,0,0,0,0,0,0,GRASSLAND,GRASSLAND
I10,710006,9716196,3233.396289,3233.396249,3582.436306,4196.828562,0,1500,1500,0,0,0,0,0.000917246,0.00123674,1383.3,0,333,0,0,0,0,0,0,GRASSLAND,GRASSLAND
I11,709846,9713784,4743.663486,3160.523865,3721.216834,6603.306488,0,1500,1500,0,0,0,0,0.000915603,0.001254214,1161,890.5,370,0,0,0,0,0,0,GRASSLAND,GRASSLAND
I12,710837,9711269,2426.484038,2538.259858,3142.561904,6059.987915,0,1500,1500,0,0,0,0,0.00069016,0.001265256,1500,1389.7,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
I13,710085,9708950,593.9285554,593.9286295,2930.861076,3774.704298,1,319.6,136,0,0,5,11,0.000865952,0.00097525,1010,1425,800,0,0,0,0,0,0,GRASSLAND,GRASSLAND
J02,712788,9733722,131.0005084,131.0004419,796.1483078,486.1822774,1,776.5,37,3,2,0,0,0.000418657,0.00051636,10.3,14.1,11,500,500,500,500,500,500,WOODLAND,DENSE
J03,712783,9731507,1663.44153,1663.441484,1806.652737,1866.030492,1,1360,100,0,1,0,0,0.002442989,0.001283444,34.6,29.7,22,1,12,41,42,500,500,WOODLAND,MODERATE
J04,712954,9729237,1177.938029,1177.938129,1073.276084,2854.863158,0,1500,1500,0,0,0,0,0.003177854,0.001880317,58.9,79.3,27,0,3,10,9,1,6,WOODLAND,SPARSE
J05,713133,9727041,1495.466296,1495.466385,1200.527169,1925.754853,0,1500,1500,0,0,0,0,0.001195887,0.002078178,123.3,267.6,82,0,0,2,14,15,38,GRASSLAND,GRASSLAND
J06,712898,9724611,565.7308085,2609.340867,2635.336026,666.9402146,0,1500,1500,0,0,0,0,0.0004998,0.00172045,51.4,77.6,29,0,3,9,5,6,30,WOODLAND,SPARSE
J07,712763,9722337,2307.548639,2110.227074,2126.534098,1387.706831,1,120,1,5,2,2,3,0.000924552,0.00157339,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
J08,712652,9720223,1238.961687,47.63489483,574.8021211,1335.889838,1,1261.8,118,0,0,1,1,0.001276857,0.001682717,642.5,1241.4,182,0,0,0,0,2,0,GRASSLAND,GRASSLAND
J09,713126,9718188,38.00539641,38.0054885,364.0887362,2314.982085,1,268.6,119,0,0,5,24,0.003670663,0.002089178,731.6,1500,430,0,0,0,0,0,0,GRASSLAND,GRASSLAND
J10,713149,9716295,916.3360656,916.3360656,927.2105128,4031.851726,1,735.9,159,0,0,5,1,0.002732889,0.001977923,267.3,1087.5,16,1,4,0,1,1,0,WOODLAND,SPARSE
J11,712856,9713448,2729.38734,2729.387438,3770.476668,6857.926912,0,1500,1500,0,0,0,0,0.000645299,0.001536625,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
J12,712314,9710911,1658.38779,2478.655574,4574.321601,34,0,1500,1500,0,0,0,0,0.000555157,0.001523287,221.2,891.5,35,0,3,5,0,0,0,WOODLAND,SPARSE
J13,712102,9708779,223.9140616,961.5321243,4768.054145,3860.000585,0,1500,1500,0,0,0,0,0.000645753,0.001221739,411.8,1395,2,1,0,0,1,0,0,GRASSLAND,GRASSLAND
K03,715120,9731552,132.3127825,132.3127602,273.3063054,211.9380184,0,1500,1500,0,0,0,0,0.005601895,0.001395392,22.1,23.6,6,6,9,25,33,500,500,WOODLAND,SPARSE
K04,715089,9729467,804.5789145,804.5789292,952.7216756,257,0,1500,1500,0,0,0,0,0.005447707,0.002190536,14.8,33.9,4,9,6,47,50,31,18,WOODLAND,SPARSE
K05,715102,9726821,173.7274378,120.9037969,104.4904781,2067.175913,0,1500,1500,0,0,0,0,0.002141695,0.002109059,29.4,63,16,4,9,24,20,4,17,WOODLAND,SPARSE
K06,715008,9724985,1959.210038,613.2626406,1735.377638,723.3201661,0,1500,1500,0,0,0,0,0.000715558,0.001747233,46,63.3,26,0,5,28,11,1,2,WOODLAND,SPARSE
K07,714926,9722507,3335.359628,2525.41567,2816.818884,1289.734136,1,1222.5,71,0,1,1,0,0.001601065,0.001465338,48.2,74.7,23,1,5,9,6,2,3,WOODLAND,SPARSE
K08,715390,9720330,3114.638663,1062.617084,2165.567884,711.137384,0,1500,1500,0,0,0,0,0.002223344,0.001563133,183.8,284.4,49,0,1,1,1,0,6,WOODLAND,SPARSE
K09,715396,9718218,1936.484976,747.7532181,805.0478855,2078.23671,1,176.1,64,0,1,18,19,0.002079002,0.001720043,207.3,1500,143,0,0,0,1,2,8,GRASSLAND,GRASSLAND
K10,714339,9716097,11.07341427,11.07332009,1392.040531,4037.929503,1,126.9,27,2,1,15,16,0.004796541,0.001966066,193,899.4,127,0,0,0,2,3,4,GRASSLAND,GRASSLAND
K11,714652,9713600,942.0144638,942.0145592,3424.321936,6534.136517,1,1213.2,56,0,2,0,0,0.000996342,0.001547096,500,1500,500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
K12,715067,9711274,1693.296601,1693.296601,2195.007789,6564.744928,1,152.7,61,0,3,16,3,0.000402863,0.001391188,900,1500,500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
K13,715209,9709080,2177.068341,2996.341796,3081.469855,4485.466834,1,1242.5,175,0,0,2,0,0.000421529,0.001365787,1300,1500,500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
L03,717248,9731538,30.6658425,30.66585361,853.0217179,1233.341833,0,1500,1500,0,0,0,0,0.005833587,0.001988778,41.4,38.1,19,1,7,500,500,500,500,WOODLAND,SPARSE
L04,717238,9729348,1166.956219,1166.956087,1289.677916,832.4601879,0,1500,1500,0,0,0,0,0.004809835,0.002969248,18.9,28.3,12,9,72,147,500,500,500,WOODLAND,DENSE
L05,717491,9727280,1835.70386,1835.70386,1887.959105,2645.955216,1,1372.1,221,0,0,0,0,0.002862812,0.002421884,89.1,167.6,15,1,0,5,3,13,1,GRASSLAND,GRASSLAND
L06,717269,9725021,2990.083251,1926.711107,2770.441423,2964.898576,1,86.6,21,1,2,6,0,0.000978178,0.001556668,1394.8,1398.4,448,0,0,0,0,0,0,GRASSLAND,GRASSLAND
L07,717472,9722874,4772.671262,2922.795171,3017.95477,2544.337957,1,712.4,55,0,0,0,0,0.001555047,0.001257559,132.4,353.1,21,1,3,0,2,1,2,WOODLAND,SPARSE
L08,716987,9720318,4313.668436,2634.167172,2887.452077,1447.317006,1,1374.4,244,0,0,0,0,0.002059826,0.001488798,340.5,278.3,159,0,0,0,0,2,2,GRASSLAND,GRASSLAND
L09,717279,9718022,3340.729234,1032.086717,1394.412339,3359.367724,1,650,650,0,0,0,4,0.001207526,0.001453765,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
L10,717449,9716523,2460.309816,282.041598,1867.790381,4601.829627,0,1500,1500,0,0,0,0,0.000917336,0.001159298,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
L11,717168,9713790,1133.903748,1133.903773,2411.47866,6501.138516,0,1500,1500,0,0,0,0,0.000492971,0.000982436,13.3,72.2,11,12,6,3,5,5,0,WOODLAND,SPARSE
L12,717370,9711304,141.3985944,141.3986915,134.311644,7082.222885,1,143.5,28,1,2,0,0,0.000209853,0.001021047,1200,1500,500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
L13,716909,9709067,2293.960563,2293.960548,2339.648446,5075.467368,0,1500,1500,0,0,0,0,0.000347246,0.001229343,262.7,1036.6,213,0,0,0,0,0,8,GRASSLAND,GRASSLAND
M03,719685,9731630,1997.360134,126.6157666,1475.469166,1960.030852,0,1500,1500,0,0,0,0,0.003046003,0.001881086,10.9,23.2,2,500,500,500,500,500,500,WOODLAND,DENSE
M04,719629,9729236,588.4052368,139.4431948,488.1734171,713.0652017,0,1500,1500,0,0,0,0,0.004143519,0.002874345,27,32,13,3,13,23,500,500,500,WOODLAND,MODERATE
M05,719495,9726939,572.6172403,504.662412,715.8010418,2268.305949,0,1500,1500,0,0,0,0,0.003014402,0.002193197,155.6,243.4,30,0,1,0,1,3,35,WOODLAND,SPARSE
M06,719551,9725160,2016.77019,627.6000664,856.0752939,3820.538142,1,476.1,57,0,0,0,0,0.00162718,0.001653516,290.6,949,145,0,0,0,1,1,1,GRASSLAND,GRASSLAND
M07,719250,9722427,4279.427723,1173.037907,1214.171191,3428.269664,1,319.4,57,0,0,0,23,0.001681137,0.00125132,800,1264,800,0,0,0,0,0,0,GRASSLAND,GRASSLAND
