siteID,X,Y,amRivDist,asRivDist,confDist,kopDist,binTerm,mpAvgTerm10,nearTerm,TM50,TM100,TM300,TMgt300,lriskDry,lriskWet,mpAvgTree10,asAvgTree10,nearTree,T25,T50,T100,T150,T200,T250,habitat,woodland
P08,726263,9720390,1197.585722,1197.585835,1882.276997,4388.518308,0,0,0,0,0,0,0,0.002045674,0.002326589,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
P09,726291,9718075,1719.710178,1719.710178,3844.803579,3166.120341,1,75,221,2,9,34,500,0.001169817,0.001770346,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
P10,726658,9715033,3316.905335,2827.237523,2825.151872,2749.381215,1,129.5,29,1,2,4,500,0.001166412,0.0013568,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
P11,726081,9713561,3461.358115,1823.753886,1843.605786,3009.630802,0,1500,1500,0,0,0,0,0.001156637,0.001232946,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
P12,726304,9711404,5239.539102,2134.078255,2998.129283,4899.834667,1,1132.3,91,0,0,0,0,0.001215228,0.000556227,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
P13,725753,9708722,7434.244884,208.3773982,5085.224946,7215.461767,1,1209,26,0,0,0,0,0.001741401,0.000754396,631.1,866.4,109,0,0,0,1,0,1,GRASSLAND,GRASSLAND
Q05,728571,9727010,4332.961087,949.5041948,821.6381572,7534.286816,0,1500,1500,0,0,0,0,0.0005886,0.000735365,100.1,97.3,9,1,2,1,4,8,4,WOODLAND,SPARSE
Q06,728320,9724607,2312.086714,814.6080346,853.3871294,7886.871532,0,1500,1500,0,0,0,0,0.001610079,0.001814828,20.2,52.6,5,7,4,7,39,500,500,WOODLAND,SPARSE
Q07,728510,9722377,940.5277192,940.5277372,1119.295889,7024.930521,0,1500,1500,0,0,0,0,0.002875971,0.003007323,85.9,382,71,0,0,11,20,37,3,GRASSLAND,GRASSLAND
Q08,728424,9720189,251.149358,251.1492919,1326.778393,6168.225496,1,390.4,32,0,0,0,0,0.002777745,0.00292928,187.3,230.1,107,0,0,0,2,3,9,GRASSLAND,GRASSLAND
Q09,728435,9718338,1924.129353,1924.129326,2895.362417,5079.463261,1,450,450,0,0,0,500,0.001481983,0.001775239,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
Q10,728531,9715888,3793.386326,3793.386326,4105.190224,4526.350866,0,1500,1500,0,0,0,0,0.000861909,0.000983244,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
Q11,728513,9713551,5554.207414,4202.451514,4275.617538,5013.908811,1,92.5,25,0,0,0,0,0.001042777,0.001270925,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
Q12,728368,9711360,6631.471179,3683.107498,4687.49948,6182.413207,0,1500,1500,0,0,0,0,0.001425886,0.000679189,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
Q13,728540,9709168,8360.681432,1709.360664,6159.83347,6198.413298,0,1500,1500,0,0,0,0,0.001737786,0.000410327,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
R05,730657,9726867,5555.363231,2681.43767,2869.155374,8675.8527,0,1500,1500,0,0,0,0,0.000334467,0.000362021,28,182.6,15,500,500,500,500,500,500,WOODLAND,DENSE
R06,730704,9724797,3949.487677,813.1162615,1929.624218,9421.970544,0,1500,1500,0,0,0,0,0.000808789,0.000821537,16.7,40.8,7,500,500,500,500,500,500,WOODLAND,DENSE
R07,730706,9722655,2085.650057,568.6890627,2046.196508,7412.815577,0,1500,1500,0,0,0,0,0.001839724,0.001616608,500,281.7,500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
R08,730737,9720435,907.7952688,907.7953379,1451.451525,5419.740568,0,1500,1500,0,0,0,0,0.002478827,0.002743645,36.5,48.2,24,1,22,13,20,34,0,WOODLAND,MODERATE
R09,730811,9718184,648.1659689,648.1659248,870.6187968,3642.568611,1,445.4,108,0,0,0,0,0.00212102,0.002453852,37,51.6,24,2,9,69,58,50,29,WOODLAND,SPARSE
R10,730621,9715990,2800.747379,2800.747281,2898.829943,2969.762796,0,1500,1500,0,0,0,0,0.000948352,0.00108095,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
R11,730807,9713715,4936.099185,4892.380869,4949.986625,3444.180016,0,1500,1500,0,0,0,0,0.00091477,0.000848152,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
R12,730748,9711480,7085.357256,4826.466095,6839.661279,3906.271998,0,1500,1500,0,0,0,0,0.001280435,0.00079384,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
R13,730761,9709231,9147.744153,3032.755018,7838.165096,4045.864653,0,1500,1500,0,0,0,0,0.001330561,0.000716386,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
S07,732920,9722555,3885.896796,1502.390228,3052.270966,6740.276413,0,1500,1500,0,0,0,0,0.001198705,0.000958712,9.8,50.6,2,500,500,500,500,500,500,WOODLAND,DENSE
S08,733003,9720352,1973.884764,1465.788376,1686.401851,4545.052864,0,1500,1500,0,0,0,0,0.002100001,0.002171037,5.5,26.9,1,500,500,500,500,500,500,WOODLAND,DENSE
S09,732912,9718028,255.4517358,116.7788765,309.4496627,2302.490882,0,1500,1500,0,0,0,0,0.00312124,0.002658231,122.6,39.9,84,6,12,28,32,14,22,WOODLAND,MODERATE
